country_name,city_name,nominal_num_bikes,cityhall,launch_date,closed_date,timezone,operator,operator_name,system_type,system_website,technology
Czechia,Uherské Hradiště,70,,2021-04-01,,Europe/Prague,nextbike Czech Republic sro,nextbike,Dock-based,https://www.nextbikeczech.com/uherske-hradiste/,Nextbike
Czechia,Zlín,102,,2021-04-14,,Europe/Prague,nextbike Czech Republic sro,nextbike,Dock-based,https://www.nextbikeczech.com/zlin/,Nextbike
Estonia,Tallinn,0,,2016-10-20,,Europe/Tallinn,nextbike,SIXT jalgrattarent,Hybrid,https://www.sixtbicycle.ee/,nextbike
Estonia,Tartu,340,Tartu City Government,2019-06-09,,Europe/Tallinn,Tartu City Transport,Tartu Smart Bike Share,Dock-based,https://ratas.tartu.ee/,Bewegen
Finland,Hamina,0,,,,Europe/Helsinki,Kaakau,Donkey Republic,Dock-based,https://kaakau.fi/hamina/,Donkey Republic
Finland,Helsinki,4367,Helsinki City Transport,,,Europe/Helsinki,HSL,HSL City bikes,Extendable dock-based,https://www.hsl.fi/en/citybikes,Smoove
Finland,Imrata,0,,,,Europe/Helsinki,Kaakau,Donkey Republic,Dock-based,https://kaakau.fi/imatra/?lang=en,Donkey Republic
Finland,Kotka,75,,,,Europe/Helsinki,Kaakau,Donkey Republic,Dock-based,https://kaakau.fi/kotka/,Donkey Republic
Finland,Kouvola,0,,,,Europe/Helsinki,Kaakau,Donkey Republic,Dock-based,https://www.donkey.bike/cities/bike-rental-kouvola/,Donkey Republic
Finland,Lappeenranta,119,,,,Europe/Helsinki,Kaakau,Donkey Republic,Dock-based,https://kaakau.fi/lappeenranta/?lang=en,Donkey Republic
Finland,Oulu,0,City of Oulu,,2020-11-03,Europe/Helsinki,nextbike,Sykkeli,Dock-based,https://kaupunkipyorat.ouka.fi/en/oulu/kaupunkipyorat/home,nextbike
Finland,Porvoo,117,,,,Europe/Helsinki,Donkey Republic,Donkey Republic,Dock-based,https://www.donkey.bike/cities/bike-rental-porvoo/,Donkey Republic
Finland,Turku,20,City of Turku,2018-05-01,2021-09-30,Europe/Helsinki,Föli Turku Region Traffic,Föli-fillarit,Hybrid,https://www.foli.fi/en/citybikes,Smoove
Finland,Vantaa,891,City of Vantaa,2019-06-17,,Europe/Helsinki,HSL,Vantaa City Bikes,Dock-based,https://kaupunkipyorat.hsl.fi/en/vantaa,HSL
Finland,Vuosaari,31,HSL,2019-04-15,2020-02-11,Europe/Helsinki,Samocat,cityscooters,Dock-based,https://www.hsl.fi/en/cityscooters,Samocat
France,Agen,15,,,,Europe/Paris,,Tempo Vélo,Dock-based,https://tempovelo.ecovelo.mobi/,Ecovelo
France,Amiens,216,,,,Europe/Paris,,Velam,,,
France,Angers,234,,2017-10-23,,Europe/Paris,Pony,Pony,Dock-based,https://getapony.com/en,Pony
France,Avignon,152,,,,Europe/Paris,Smoove,Velopop,Dock-based,https://www.velopop.fr/en,Smoove
France,Belfort,238,,,,Europe/Paris,,Optymo,,,
France,Besançon,179,,,,Europe/Paris,,VéloCité,,,
France,Bordeaux,721,Transports Bordeaux Metropole,2010-02-20,,Europe/Paris,Allo V³,VCub,Dock-based,https://www.vcub.fr/,Keolis
France,Bordeaux,39,,2019-06-04,,Europe/Paris,Pony,Pony,Dock-based,https://getapony.com/en,Pony
France,Bordeaux,2,,,,Europe/Paris,Zoov,Zoov,Dock-based,https://www.zoov.eu/en/bordeaux,JSON/GBFS
France,Caen,223,Communauté urbaine Caen la mer,2018-01-31,,Europe/Paris,Keolis,Vélolib,Dock-based,https://www.twisto.fr/reseau-twisto/nos-mobilites/twisto-velo.html,
France,Calais,188,,,,Europe/Paris,,Vel'in,,,
France,Carcassonne,36,Ville de Carcassonne,2020-12-19,2021-12-19,Europe/Paris,Ville de Carcassonne,CYCLOlib,Dock-based,,Urban Sharing
France,Chalon-sur-Saône,4,,2013-03-01,2016-01-28,Europe/Paris,,Reflex,,http://www.smoove.fr/chalon-sur-saone,
France,Clermont-Ferrand,407,,,,Europe/Paris,Moventia,C.vélo,Dock-based,https://www.c-velo.fr/,PBSC
France,Dijon,264,Dijon Métropole,,,Europe/Paris,Keolis,DiviaVélodi,Dock-based,https://www.divia.fr/page/diviavelodi,
France,Grenoble,74,,,,Europe/Paris,,Smoove,,,
France,Grenoble,0,,2020-09-01,,Europe/Paris,Pony,Pony,Dock-based,https://getapony.com/en,Pony
France,La Baule-Escoublac,62,,,,Europe/Paris,,Le Velo Baulois,Dock-based,https://labaule.ecovelo.mobi/,Ecovelo
