country_name,city_name,nominal_num_bikes,cityhall,launch_date,closed_date,timezone,operator,operator_name,system_type,system_website,technology
USA,Greenville,48,,,,America/New_York,,Greenville B-cycle,, http://greenville.bcycle.com/,
USA,Hailey/Ketchum,12,,,2018-12-19,America/Boise,,Mountain Rides,, http://mrbikeshare.org/,
USA,Harrisburg,50,,,2020-06-11,America/New_York,Zagster,Harrisburg,Dock-based,http://zagster.com/harrisburg/,Zagster
USA,Hoboken & Bayonne,139,City of Hoboken,2015-10-17,2020-10-09,America/New_York,P3 Global Management,Hudson Bike Share (JerseyBike),Hybrid,https://hudsonbikeshare.com/,nextbike
USA,Houston,788,,,,America/Chicago,,Houston B-cycle,, http://houston.bcycle.com/,
USA,Indianapolis,194,,,,America/Indiana/Indianapolis,,Indiana Pacers Bikeshare,, https://www.pacersbikeshare.org/,
USA,Jackson,50,Town of Jackson,2018-04-11,,America/Denver,BCycle,START Bike,Hybrid,https://startbike.bcycle.com/,BCycle
USA,Kansas City,201,Kansas City Regional Transit,,,America/Chicago,B-cycle,RideKC Bike,,http://ridekcbike.com/,B-cycle
USA,Kent State University,0,,,2018-11-05,America/New_York,,Flashfleet Kent State University,,http://www.kent.edu/recservices/flashfleet/,nextbike
USA,Lafayette and Purdue,50,,,,America/New_York,Zagster,Purdue,Dock-based,http://zagster.com/purdue/,Zagster
USA,Las Vegas,200,Regional Transportation Commission of Southern Nevada,2016-10-03,,America/Los_Angeles,Bicycle Transit Systems,RTC Bike Share,Dock-based,https://bikeshare.rtcsnv.com/,BCycle
USA,Lincoln,120,City of Lincoln,2018-06-26,,America/Chicago,BCycle,BikeLNK,Dock-based,https://bikelnk.bcycle.com/,BCycle
USA,Long Beach CA,104,,,,America/Los_Angeles,,SoBi Long Beach,,https://sobilongbeach.com/,
USA,Long Beach NY,104,,,2019-10-01,America/New_York,,SoBi Long Beach NY,,,
USA,Longmont,50,,,,America/Denver,Zagster,Longmont,Dock-based,http://zagster.com/longmont/,Zagster
USA,Los Angeles,1223,,,,America/Los_Angeles,,Metro Bike Share,, https://bikeshare.metro.net/,
USA,Louisville,100,"City of Louisville, Kentucky",2017-05-27,,America/Kentucky/Louisville,CycleHop,LouVelo,Dock-based,https://louvelo.com/,PBSC
USA,Madison,235,,,,America/Chicago,,Madison B-cycle,Dock-based, http://madison.bcycle.com/,B-cycle
USA,Memphis,100,City of Memphis,2018-05-23,,America/Chicago,Explore Bike Share,Explore Bike Share,Hybrid,https://explorebikeshare.bcycle.com/,BCycle
USA,Miami,1007,,,,America/New_York,,Citi Bike,, http://www.decobike.com/miamibeach,
USA,Milwaukee,433,,,,America/Chicago,,Bublr,,http://bublrbikes.org/,
USA,Minneapolis,1981,City of Minneapolis,2010-06-10,,America/Chicago,Nice Ride Minnesota,Nice Ride,Hybrid,https://www.niceridemn.com/,8D
USA,Nashville,196,,,,America/Chicago,,Nashville B-cycle,, http://nashville.bcycle.com/,
USA,New Orleans,100,City of New Orleans,2017-12-05,,America/Chicago,City of New Orleans,Blue Bikes NOLA,Hybrid,https://bluebikesnola.com/,SoBi
USA,New York (JUMP),35,,,,America/New_York,Uber,JUMP,Dockless,,SoBi
USA,New York (Lime),0,,,,America/New_York,Lime,Lime,Dock-based,https://www.li.me/locations/nyc,Lime
USA,New York City,21575,New York City DOT,2013-05-23,,America/New_York,Motivate,Citi Bike,Dock-based,https://www.citibikenyc.com/,8D
USA,Ohio State University,50,,,2018-08-14,America/New_York,Zagster,Ohio State,Dock-based,http://zagster.com/ohiostate/,Zagster
USA,Omaha,150,,,,America/Chicago,,Omaha B-cycle,, http://omaha.bcycle.com/,
USA,Orlando,171,,,2021-04-30,America/New_York,Hopr,Juice,Virtual zone dockless,https://juicebikeshare.com/,
USA,Park City,100,,2017-07-19,2019-04-06,America/Denver,Corps Logistics,Summit Bike Share,Dock-based,https://www.summitbikeshare.com/,Bewegen
USA,Penn State University,50,,,,America/New_York,Zagster,Penn State,Dock-based,http://zagster.com/psu/,Zagster
